[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.004001s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.005001s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.073004s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.074004s ]
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-17T15:31:09+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
